"No.","Time","Source","Destination","Protocol","Length","Info","Leftover Capture Data"
"2","1.257818","1.12.2","host","USB","72","URB_INTERRUPT in","0102000000000000"
"3","2.313754","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"4","3.177825","1.12.2","host","USB","72","URB_INTERRUPT in","0102000000000000"
"5","4.033822","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"6","4.777811","1.12.2","host","USB","72","URB_INTERRUPT in","0101000000000000"
"7","6.457810","1.12.2","host","USB","72","URB_INTERRUPT in","0102000000000000"
"8","7.089808","1.12.2","host","USB","72","URB_INTERRUPT in","0101000000000000"
"9","8.265819","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"10","9.057807","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"11","10.097812","1.12.2","host","USB","72","URB_INTERRUPT in","0102000000000000"
"12","10.873811","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"13","11.681822","1.12.2","host","USB","72","URB_INTERRUPT in","0101000000000000"
"14","12.825826","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"15","13.705812","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"16","14.497814","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"17","15.441817","1.12.2","host","USB","72","URB_INTERRUPT in","0101000000000000"
"18","23.457822","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"19","24.369815","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"20","25.209822","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"21","26.073811","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"22","26.945816","1.12.2","host","USB","72","URB_INTERRUPT in","0102000000000000"
"23","27.785824","1.12.2","host","USB","72","URB_INTERRUPT in","0101000000000000"
"24","29.873815","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"25","30.601807","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"26","31.489815","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"27","32.441819","1.12.2","host","USB","72","URB_INTERRUPT in","0102000000000000"
"28","33.561824","1.12.2","host","USB","72","URB_INTERRUPT in","0101000000000000"
"29","34.577828","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"30","35.377817","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"31","36.137829","1.12.2","host","USB","72","URB_INTERRUPT in","0104000000000000"
"32","38.169815","1.12.2","host","USB","72","URB_INTERRUPT in","0102000000000000"
"33","38.705824","1.12.2","host","USB","72","URB_INTERRUPT in","0102000000000000"
